code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
63,Puy-de-Dôme,Le Bois de Rochemave,le-bois-de-rochemave,Cros,,facile,T1,~210,6,2h12,,,,,45.47158655,2.6207512
15,Cantal,Sentier des Buissières,sentier-des-buissieres,Cassaniouze,,facile,T1,195,3.2,1h27,,,,,44.6448259,2.348408
63,Puy-de-Dôme,Auger,auger,Égliseneuve-d'Entraigues,,modere,T2,~350,10,3h40,,,,,45.406986149999994,2.8096138
43,Haute-Loire,VA 06 : Blesle - Massiac,va-06--blesle---massiac,Grenier-Montgon,,modere,T2,~473,13.5,4h57,,,,,45.285473499999995,3.19557715
15,Cantal,VA 11 : Saint-Jacques-des-Blats - Vic-sur-Cère,va-11--saint-jacques-des-blats---vic-sur-cere,Thiézac,,modere,T2,~578,16.5,6h03,,,,,45.0153082,2.67037645
15,Cantal,MCVL1 : Murat - col de Prat-de-Bouc,mcvl1--murat---col-de-prat-de-bouc,Albepierre-Bredons,,modere,T2,~638,11.6,5h02,,,,,45.081338349999996,2.83356765
17,Charente-Maritime,Sentier du Littoral - Rivedoux-Plage,sentier-du-littoral---rivedoux-plage,Rivedoux-Plage,,modere,T2,~385,11,4h02,,,,,46.15579495,-1.28014615
46,Lot,Circuit des 4 croix,circuit-des-4-croix,Cavagnac,,facile,T1,180,8.5,2h44,,,,,45.021546650000005,1.63472795
46,Lot,La boucle du Ségala,la-boucle-du-segala,Cahus,,facile,T1,300,10,3h30,,,,,44.96701195,1.9161807
19,Corrèze,Les Balcons de la Corrèze,les-balcons-de-la-correze,Cornil,,facile,T1,~300,15,4h45,,,,,45.213177200000004,1.7046735000000002
63,Puy-de-Dôme,Saint-Jean-du-Desert,saint-jean-du-desert,Savennes,,modere,T2,~360,18,5h42,,,,,45.5864651,2.4826212
19,Corrèze,La Chapelle d'Artiges,la-chapelle-dartiges,Saint-Privat,,facile,T1,~250,12.5,3h58,,,,,45.1539174,2.1100364000000003
15,Cantal,VA 14 : Laroquebrou - Camps-Saint-Mathurin,va-14--laroquebrou---camps-saint-mathurin,Siran,,difficile,T3,~1293,23.5,10h11,,,,,44.97655915,2.0899692500000002
21,Côte-d'Or,Montagne de Beaune,montagne-de-beaune,Beaune,,facile,T1,232,9.3,3h05,,,,,47.0381562,4.81602625
21,Côte-d'Or,Sentier Jean Montmey,sentier-jean-montmey,Plombières-lès-Dijon,,modere,T2,410,11.3,4h11,,,,,47.332496899999995,4.9861656
21,Côte-d'Or,Alésia d'un camp à l'autre,alesia-dun-camp-a-lautre,Flavigny-sur-Ozerain,,modere,T2,410,16,5h22,,,,,47.525279049999995,4.499618099999999
35,Ille-et-Vilaine,Médréac - vallée du Néal,medreac---vallee-du-neal,Médréac,,modere,T2,~360,18,5h42,,,,,48.275436,-2.05582615
22,Côtes-d'Armor,Boucle de Saint-Jacques,boucle-de-saint-jacques,Tréméven,,facile,T1,~203,5.8,2h08,,,,,48.67729505,-3.03550725
22,Côtes-d'Armor,Circuit de la Grande Tranchée,circuit-de-la-grande-tranchee,Glomel,,modere,T2,~326,9.3,3h25,,,,,48.22842315,-3.38491275
35,Ille-et-Vilaine,Circuit du Hil,circuit-du-hil,Saint-Thual,,modere,T2,~420,21,6h39,,,,,48.33399215,-1.9039791
22,Côtes-d'Armor,Tro Sant Houarne,tro-sant-houarne,Bourbriac,,facile,T1,~263,7.5,2h45,,,,,48.44976565,-3.23634185
22,Côtes-d'Armor,Circuit des Moulins,circuit-des-moulins,Kerpert,,facile,T1,~210,6,2h12,,,,,48.3849505,-3.1298411
63,Puy-de-Dôme,Les Étangs,les-etangs,Montel-de-Gelat,,modere,T2,~630,18,6h36,,,,,45.94844075,2.5960371
63,Puy-de-Dôme,La Roche d'Agoux,la-roche-dagoux,Saint-Maurice-près-Pionsat,,modere,T2,~595,17,6h14,,,,,46.04790255,2.6081222
63,Puy-de-Dôme,Le Chateau de Ligondes,le-chateau-de-ligondes,Château-sur-Cher,,facile,T1,~260,13,4h07,,,,,46.13238575,2.5576513
63,Puy-de-Dôme,Étang du Vernet,etang-du-vernet,La Celle,,facile,T1,~140,7,2h13,,,,,45.85522965,2.4550613500000003
24,Dordogne,Boucle du Polissoir,boucle-du-polissoir,Campagne,,facile,T1,150,5.2,1h48,,,,,44.91083810000001,0.9760219
24,Dordogne,Boucle de la Forêt,boucle-de-la-foret,Jayac,,facile,T1,200,8.5,2h47,,,,,45.03874665,1.3575642
24,Dordogne,Boucle des Étangs,boucle-des-etangs,Saint-Geniès,,facile,T1,~270,7.7,2h50,,,,,44.98216865,1.2539589
24,Dordogne,Boucle du rocher du corbeau,boucle-du-rocher-du-corbeau,Beaumontois en Périgord,,modere,T2,~420,12,4h24,,,,,44.79160145,0.7364573000000001
24,Dordogne,Boucle de Cap de fer,boucle-de-cap-de-fer,Le Fleix,,facile,T1,~277,7.9,2h54,,,,,44.8832178,0.23287715
24,Dordogne,Boucle de Saint-Georges-Blancaneix,boucle-de-saint-georges-blancaneix,Saint-Georges-Blancaneix,,modere,T2,~392,11.2,4h06,,,,,44.915007849999995,0.36654675000000003
25,Doubs,Circuit de la Chapelle des Buis,circuit-de-la-chapelle-des-buis,Besançon,,facile,T1,250,6.3,2h24,,,,,47.21809575,6.03900075
25,Doubs,Sentier des Sources 1,sentier-des-sources-1,Vaire-le-Grand,,facile,T1,290,7.5,2h51,,,,,47.2761651,6.15370005
25,Doubs,Sentier du Ruisseau,sentier-du-ruisseau,Boussières,,facile,T1,270,9.2,3h12,,,,,47.14935255,5.904245550000001
25,Doubs,Les Hauts de Divicius,les-hauts-de-divicius,Devecey,,facile,T1,250,7.8,2h47,,,,,47.3185955,6.024752299999999
25,Doubs,Les Belvédères,les-belvederes,Renédale,,difficile,T3,1123,13,6h60,,,,,47.0217849,6.281707
25,Doubs,Le Tour de Barchet,le-tour-de-barchet,Passonfontaine,,facile,T1,283,6.6,2h36,,,,,47.0992377,6.4136
